Mineral,China_Processing_Share,China_Mining_Share,Top_Other_Processors,Strategic_Use
Rare Earths,0.85,0.60,"USA, Australia, Myanmar","Magnets for EVs, wind turbines, military"
Lithium,0.60,0.13,"Chile, Australia, Argentina","EV batteries, energy storage"
Cobalt,0.80,0.02,"Finland, Canada, DRC","Battery cathodes, superalloys"
Graphite,0.80,0.65,"India, Brazil, Mozambique","Battery anodes, steel production"
Nickel,0.65,0.10,"Indonesia, Philippines, Russia","Battery cathodes, stainless steel"
Solar Polysilicon,0.80,0.80,"USA, Germany, South Korea","Solar panels"
Manganese,0.95,0.25,"South Africa, Gabon, Australia","Steel production, batteries"
Gallium,0.95,0.90,"Japan, Russia, Ukraine","Semiconductors, LEDs"
Germanium,0.60,0.40,"Belgium, USA, Canada","Fiber optics, infrared"
Tungsten,0.85,0.85,"Russia, Canada, Austria","Military, drilling, electronics"
